('氧氣', 0.9532402753829956),('氧化鈣', 0.949308454990387),('氫氣', 0.9468464255332947),('氯化氫', 0.9405224323272705),('氧化鎂', 0.9379231929779053)
('周圍神經', 0.9540802240371704),('脊髓', 0.9533879160881042),('片岩', 0.9523645639419556),('澎湖', 0.9492087364196777),('馬祖', 0.9486327171325684)
('化學平衡', 0.931455135345459),('波波', 0.9304590225219727),('血液循環', 0.9296767711639404),('漁獲', 0.9292027354240417),('聲源', 0.9275434017181396)
('細胞分裂', 0.9146664142608643),('複製', 0.9128026962280273),('發育', 0.9100899696350098),('減數分裂', 0.907117486000061),('熔化', 0.9063985347747803)
('酸鹼中和', 0.935438871383667),('人擇', 0.9295237064361572),('質量守恆', 0.9176943302154541),('遺傳', 0.9131468534469604),('化學變化', 0.9092403650283813)
('微血管', 0.9406254291534424),('遠洋', 0.9259912967681885),('輸尿管', 0.9206118583679199),('張裂', 0.9181933403015137),('靜脈', 0.9181667566299438)
('攝取', 0.9029062390327454),('爭奪', 0.8946697115898132),('隔絕', 0.8923128843307495),('加速', 0.8891819715499878),('供應', 0.883394718170166)
('韌皮部', 0.9576785564422607),('表皮細胞', 0.925548791885376),('負電荷', 0.9188947677612305),('正電荷', 0.9159611463546753),('細胞核', 0.9156027436256409)
('胰島素', 0.9221091270446777),('升糖素', 0.9154766798019409),('脂肪', 0.9143592119216919),('輻射熱', 0.9142550230026245),('葉綠素', 0.9087788462638855)
('循環', 0.9235377907752991),('工業材料', 0.9023811221122742),('降水', 0.890179455280304),('汽化', 0.8836809396743774),('受精作用', 0.8768990635871887)
('運輸科技', 0.9582011103630066),('生物技術', 0.9496577382087708),('綠建築', 0.9440243244171143),('網際網路', 0.9434032440185547),('產業', 0.9422864317893982)
('珊瑚礁', 0.9320658445358276),('商機', 0.9298434257507324),('死海', 0.9188703298568726),('性聯遺傳', 0.9173144102096558),('星系', 0.9129688739776611)
('睪丸', 0.9501445293426514),('界', 0.9498174786567688),('質', 0.9427940845489502),('卵巢', 0.9373667240142822),('開花植物', 0.9337575435638428)
('物種', 0.9317760467529297),('化學平衡', 0.9082748889923096),('自然環境', 0.9068307876586914),('血液循環', 0.906597375869751),('演化過程', 0.9064208269119263)
('看不到', 0.9298938512802124),('複製', 0.8948636054992676),('成長', 0.8947986364364624),('神秘', 0.8947504758834839),('配對', 0.8940579295158386)
('多樣性', 0.9298306107521057),('延續', 0.9222888946533203),('桃莉羊', 0.8948505520820618),('彼此間', 0.8948452472686768),('內在', 0.8920148015022278)
('碳反應', 0.9498192071914673),('熱能', 0.9081527590751648),('酯', 0.9039129018783569),('合成', 0.8987413644790649),('這類', 0.8975741863250732)
('呼吸作用', 0.941291093826294),('代謝作用', 0.9262433052062988),('綠色植物', 0.9058088064193726),('可行', 0.9007489085197449),('消化', 0.8994536399841309)
('橫波', 0.91661137342453),('保護色', 0.9037489891052246),('正反應', 0.9027549028396606),('背地性', 0.9021816253662109),('縱波', 0.9005144834518433)
('單細胞生物', 0.9527362585067749),('矮行星', 0.9334690570831299),('原核生物', 0.9317038059234619),('藍菌', 0.9289491176605225),('醇類', 0.9269037246704102)
('第四章', 0.9378265142440796),('延續', 0.9339960813522339),('交互作用', 0.9298306703567505),('護卵', 0.9133812189102173),('協調', 0.9113376140594482)
('無性生殖', 0.9632880091667175),('神經系統', 0.9403132200241089),('物理變化', 0.9382462501525879),('呼吸運動', 0.9378329515457153),('體內受精', 0.9366704225540161)
有絲分裂 none
('瞬間', 0.9277657866477966),('南下', 0.9222896099090576),('索隆', 0.9218010306358337),('等待', 0.9196537733078003),('審校', 0.9171987771987915)
('照明設備', 0.9245249032974243),('資訊科技', 0.9210192561149597),('糧食', 0.9166791439056396),('生物科技', 0.9121660590171814),('化學物質', 0.911177396774292)
('靜脈', 0.9154744744300842),('動脈', 0.9099647998809814),('血管', 0.909661054611206),('水分', 0.9082661867141724),('肺臟', 0.9025205969810486)
('靜脈', 0.9350163340568542),('淋巴管', 0.9338691234588623),('動脈', 0.9289676547050476),('肺臟', 0.9247002601623535),('子宮', 0.9229133725166321)
('氫離子', 0.9216857552528381),('心跳', 0.9199330806732178),('體溫', 0.9168139696121216),('濃度', 0.9167215824127197),('升糖素', 0.9159747362136841)
