('氫氣', 0.9551478624343872),('氧氣', 0.9494543075561523),('氧化鎂', 0.9415910243988037),('甘油', 0.9382347464561462),('一氧化碳', 0.9371485114097595)
('脊髓', 0.9460752010345459),('片麻岩', 0.9376451969146729),('周圍神經', 0.9364508986473083),('每一處', 0.9360290169715881),('鈇', 0.9334096908569336)
('臍帶血', 0.89814692735672),('養', 0.897426187992096),('譜', 0.8967616558074951),('排水系統', 0.8953877687454224),('課程', 0.8947672843933105)
('細胞分裂', 0.9264044165611267),('受精卵', 0.9215010404586792),('發育', 0.9177161455154419),('減數分裂', 0.9097395539283752),('受精', 0.9044708013534546)
('人擇', 0.9153475761413574),('受精作用', 0.8969358205795288),('木材乾餾', 0.896598219871521),('結束', 0.8958101272583008),('板塊構造學說', 0.8901424407958984)
('肺部', 0.9547339081764221),('靜脈', 0.9476795196533203),('血管', 0.9437786340713501),('微血管', 0.9423201680183411),('從微', 0.9330426454544067)
('乙水', 0.8696182370185852),('加速', 0.8688687086105347),('磨碎', 0.8672442436218262),('隔絕', 0.8634223937988281),('攝取', 0.8555483818054199)
('韌皮部', 0.9452416896820068),('精', 0.9114013910293579),('正電荷', 0.9043941497802734),('環狀排列', 0.9035255908966064),('淋巴結', 0.9025335311889648)
('排泄', 0.9105960726737976),('雌性', 0.9066716432571411),('脂肪', 0.9036924839019775),('葉綠素', 0.9027757048606873),('肺臟', 0.902716875076294)
('環流', 0.9065154790878296),('高爐煉鐵', 0.8987210988998413),('孤雌生殖', 0.8985360860824585),('觸發運動', 0.8949108719825745),('降水', 0.8913183212280273)
('運輸科技', 0.9429925084114075),('製造科技', 0.9406284689903259),('技術', 0.9397180676460266),('發展趨勢', 0.9353052973747253),('複合材料', 0.9350552558898926)
('星系', 0.9309500455856323),('一整塊', 0.9268212914466858),('開花植物', 0.9233981966972351),('角蜥', 0.9211710095405579),('半島', 0.9194881319999695)
('原生生物界', 0.9517773389816284),('性腺', 0.9482282400131226),('質', 0.9421929121017456),('界', 0.9402956366539001),('人面', 0.937152087688446)
('物種', 0.9140021800994873),('闊葉林', 0.9098601341247559),('外來種', 0.9093407392501831),('演化過程', 0.9031206369400024),('生物圈', 0.9018926620483398)
('一連串', 0.9114153981208801),('下一代', 0.9083133935928345),('此次', 0.8929575681686401),('遺傳', 0.8909604549407959),('共振', 0.8909368515014648)
('多樣性', 0.915229856967926),('環流', 0.9098020792007446),('第六章', 0.9002125859260559),('彼此之間', 0.8854337930679321),('彼此間', 0.8832581043243408)
('碳反應', 0.9432582855224609),('暗反應', 0.941939651966095),('第二階段', 0.9112098217010498),('養分', 0.9075998663902283),('熱能', 0.9027880430221558)
('呼吸作用', 0.9464060664176941),('呼吸運動', 0.9210996627807617),('代謝作用', 0.9142506718635559),('綠色植物', 0.9134929180145264),('可行', 0.9094741344451904)
('向觸性', 0.9475547075271606),('背地性', 0.9443886280059814),('根', 0.9384214282035828),('形成層', 0.9379631876945496),('分裂生殖', 0.9349230527877808)
('單細胞生物', 0.9547790884971619),('鈍氣', 0.9510449171066284),('菌絲', 0.9465951919555664),('多基因遺傳', 0.9350160360336304),('原核生物', 0.9330723285675049)
('恆定性', 0.9634605646133423),('第六章', 0.9593465328216553),('形形色色', 0.9586747884750366),('現存', 0.9395007491111755),('奇妙', 0.9377881288528442)
('無性生殖', 0.9632123708724976),('生殖', 0.940459668636322),('第二章', 0.9363095760345459),('物理變化', 0.930554211139679),('呼吸運動', 0.9263303279876709)
有絲分裂 none
('隨機', 0.9129202961921692),('對抗', 0.9069331884384155),('並非', 0.9037457704544067),('癌細胞', 0.9019566178321838),('產卵', 0.9008182883262634)
('抗病', 0.9233173131942749),('藥劑', 0.9125453233718872),('幹細胞', 0.9112997651100159),('資訊科技', 0.9099782109260559),('塑膠製品', 0.9096187949180603)
('大海', 0.9116793870925903),('淋巴管', 0.9105426073074341),('淋巴', 0.9023512601852417),('靜脈', 0.8971319794654846),('血管', 0.8954082131385803)
('靜脈', 0.9473929405212402),('肺部', 0.9457427859306335),('心臟', 0.9437786340713501),('淋巴結', 0.9352471828460693),('淋巴管', 0.9302489757537842)
('體溫', 0.9383852481842041),('恆定', 0.9275675415992737),('氫離子', 0.924772322177887),('濃度', 0.9235854148864746),('食慾', 0.9206539392471313)
('多采多姿', 0.8901276588439941),('失敗', 0.8876386284828186),('關鍵', 0.8833704590797424),('足跡', 0.8819758892059326),('珍貴', 0.8817050457000732)
('淋巴系統', 0.8782247304916382),('遮陽', 0.8757190704345703),('內分泌系統', 0.874103307723999),('解毒', 0.8715576529502869),('休閒', 0.8708666563034058)
('爬蟲類', 0.9801564812660217),('哺乳類', 0.9772858023643494),('裸子植物', 0.9738211035728455),('鳥類', 0.9714508056640625),('魚類', 0.9644667506217957)
('運輸作用', 0.9807101488113403),('形形色色', 0.9363834857940674),('水生', 0.9237571358680725),('談', 0.9206879734992981),('珊瑚蟲', 0.9205780625343323)
('光合作用', 0.9464060664176941),('呼吸運動', 0.929084062576294),('可行', 0.9278926849365234),('代謝作用', 0.9187443256378174),('有性生殖', 0.9092891812324524)
('伽利略', 0.9416185021400452),('達爾文', 0.9257197380065918),('道耳頓', 0.9233113527297974),('醫生', 0.92127525806427),('結論', 0.9205158948898315)
('哺乳類', 0.9520818591117859),('水螅', 0.9497562050819397),('烏賊', 0.9469067454338074),('爬蟲類', 0.9467109441757202),('蝙蝠', 0.9441508650779724)
('種子', 0.9420081377029419),('孢子囊', 0.9258590936660767),('兩枚', 0.9246430397033691),('棘', 0.9101024270057678),('羊水', 0.9099045395851135)
('哺乳類', 0.9852440357208252),('兩生類', 0.9801564812660217),('鳥類', 0.976701021194458),('魚類', 0.9708782434463501),('裸子植物', 0.9635248184204102)
('邁向', 0.8029615879058838),('面臨', 0.8013546466827393),('遏止', 0.7889300584793091),('日漸', 0.7847893238067627),('日益', 0.7847654223442078)
('淺色', 0.9013139009475708),('紅樹林', 0.8933590650558472),('樺樹', 0.8895619511604309),('蛋', 0.8892601728439331),('外表', 0.8868756294250488)
('正片後像', 0.8544881939888),('可見光譜', 0.8153985738754272),('演替', 0.8119699954986572),('托里切利真空', 0.8081585764884949),('單性', 0.8052799105644226)
('多樣性', 0.9634603261947632),('第六章', 0.9329148530960083),('現存', 0.9286215305328369),('形形色色', 0.9280955791473389),('第五章', 0.9134715795516968)
('成對', 0.9262617826461792),('等位基因', 0.9248127341270447),('遺傳因子', 0.9218406677246094),('同源染色體', 0.917236328125),('卵細胞', 0.8970414400100708)
染色體分裂 none
('基因突變', 0.9654426574707031),('物理變化', 0.9540282487869263),('油類', 0.9465211629867554),('聖嬰現象', 0.9458508491516113),('全球暖化', 0.944068968296051)
('食物鏈', 0.9403029680252075),('海風', 0.9142979383468628),('鋒面', 0.9034246206283569),('陸風', 0.8903106451034546),('生態系', 0.8895347118377686)
('食物網', 0.9403029680252075),('水波', 0.9305005073547363),('鋒面', 0.9191878437995911),('靜力平衡', 0.9076453447341919),('雙金屬片', 0.9071472883224487)
('動物纖維', 0.9553589224815369),('生殖器官', 0.9517772197723389),('原生動物', 0.9517236351966858),('植物界', 0.9499700665473938),('硬骨魚', 0.9494753479957581)
('纖維', 0.9311519861221313),('內燃機', 0.9280136823654175),('動物纖維', 0.9275161027908325),('真菌', 0.9273115992546082),('五大', 0.9262902736663818)
('爬蟲類', 0.9852440357208252),('鳥類', 0.9773210287094116),('兩生類', 0.9772858023643494),('魚類', 0.9751697182655334),('裸子植物', 0.9565105438232422)
核酸 none
('氦', 0.9107060432434082),('鈉', 0.9106652736663818),('氬', 0.9031769633293152),('碲', 0.9030259251594543),('氮', 0.9028063416481018)
('攝食', 0.9444288015365601),('消化作用', 0.9315193295478821),('還原', 0.930022656917572),('分裂生殖', 0.9227005839347839),('有機', 0.9225164651870728)
('蕈類', 0.9561015963554382),('非金屬元素', 0.9555031657218933),('體外受精', 0.9552323818206787),('有機', 0.9543101191520691),('動物纖維', 0.9542807340621948)
('初級消費者', 0.939473032951355),('孢子生殖', 0.936160683631897),('腦幹', 0.9357561469078064),('稻', 0.93358314037323),('胰島', 0.9310928583145142)
('內分泌系統', 0.963676393032074),('淋巴循環系統', 0.9619305729866028),('呼吸系統', 0.9588116407394409),('循環系統', 0.9572722911834717),('泌尿系統', 0.9521855115890503)
('熱量', 0.9365617036819458),('養分', 0.9076046943664551),('電能', 0.8940237760543823),('熱能', 0.8840023875236511),('中個', 0.8783851861953735)
脂值 none
('纖毛', 0.9001678228378296),('孢子繁殖', 0.8998627066612244),('皮帶', 0.8942345380783081),('鞭毛', 0.893559455871582),('成形加工', 0.8802734613418579)
('原生生物界', 0.9448291063308716),('肉食性', 0.9394160509109497),('變質岩', 0.9392906427383423),('植物界', 0.9389194250106812),('水域生態系', 0.9382162094116211)
('性狀', 0.9244763851165771),('有機', 0.923984169960022),('單一', 0.9221105575561523),('激素', 0.9188681244850159),('性別', 0.9186434745788574)
('乾餾', 0.959750771522522),('減數分裂', 0.9547538161277771),('受精', 0.9463268518447876),('細胞分裂', 0.9396219253540039),('折射', 0.9321370124816895)
