三葉蟲 代表性
恐龍 保護色
變形蟲 偽足
兩生類 四肢
刺絲胞動物門 刺絲胞
刺絲胞 刺絲
肉食性 刺絲胞
海葵 刺絲胞
刺絲胞動物 刺絲胞
體表 刺絲胞
體表 剛毛
設計 創意
卵生 硬殼
原生菌類 葉綠體
受質 專一性
口腔 牙齒
細胞 同源染色體
哺乳類 乳腺
水生 囊狀消化腔
多細胞生物 細胞壁
病原 專一性
特性 專一性
性染色體 染色體
基因 性染色體
皮膚 排泄
濃度 擴散
動物 本能行為
咸豐 果實
細胞核 染色體
植物 維管束
植物 細胞壁
木本植物 樹皮
小腸 消化
消化管 肌肉
淋巴系統 運輸
無維管束植物 維管束
環狀排列 形成層
白血球 細胞核
真菌 細胞壁
眼睛 瞬膜
種子植物 花粉管
節肢動物 附肢
細胞 細胞核
細胞 細胞膜
細胞 葉綠體
生物 細胞壁
細胞膜 細胞壁
細胞核 遺傳物質
蕨類植物 維管束
維管束植物 維管束
食物 胃腺
胎生 胎盤
脊椎動物 翅膀
膀胱 彈性
開花植物 花粉管
一朵花 萼片
藻類 葉綠素
藻類 葉綠體
葉肉組織 葉綠體
蘚苔植物 維管束
被子植物 維管束
體表 角質層
配子 遺傳因子
閉鎖式循環 微血管
閉鎖式循環系統 微血管
精子 鞭毛
體表 鱗片
鳥類 翅膀
刺絲胞動物 刺絲胞
刺絲胞動物 囊狀消化腔
鳥類 瞬膜
鳥類 氣囊
爬蟲類 鱗片
爬蟲類 骨板
節肢動物 附肢
節肢動物 外骨骼
細胞 細胞壁
細胞 細胞質
細胞 細胞核
細胞 細胞膜
細胞 葉綠體
細胞 維管束
細胞 液胞
細胞 粒線體
藻類 細胞壁
藻類 葉綠體
藻類 葉綠素
植物 細胞壁
植物 細胞質
植物 細胞核
植物 細胞膜
植物 葉綠體
植物 維管束
植物 葉綠素
植物 液胞
植物 粒線體
蕨類植物 維管束
被子植物 維管束
維管束植物 維管束
真菌 細胞壁
開花植物 胚珠
開花植物 花粉管
裸子植物 維管束
被子植物 種子
植物界 細胞壁
植物界 葉綠體
細胞 保衛細胞
植物 保衛細胞
同源染色體 等位基因
液胞 養分
真核生物 細胞核
管狀消化系統 口腔
管狀消化系統 消化管
管狀消化系統 肛門
管狀消化系統 食道
管狀消化系統 小腸
管狀消化系統 大腸
血液 紅血球
血液 白血球
真核生物 細胞核
皮膚 受器
肺臟 肺泡
器官系統 器官
生殖器官 種子
生殖器官 果實
開花植物 花瓣
開花植物 雄蕊
開花植物 雌蕊
開花植物 萼片
酵素 專一性
生態系 生態系多樣性
生態系 遺傳多樣性
生態系 物種多樣性
性狀 遺傳因子
植物 向光性
植物 背地性
植物 向地性
同源染色體 染色體
岩石 硬度
寶石 硬度
礦物 硬度
循環系統 開放式循環系統
循環系統 閉鎖式循環系統
脊索動物門 爬蟲類
脊索動物門 鳥類
脊索動物門 魚類
脊索動物門 兩生類
脊索動物門 哺乳類
維管束植物 蘚苔植物
維管束植物 蕨類植物
維管束植物 裸子植物
維管束植物 被子植物
魚類 硬骨魚
魚類 軟骨魚
遺傳因子 隱性
遺傳因子 顯性
性狀 顯性
性狀 隱性
﻿唾液 酵素
配子 單套染色體
維管束 形成層
絨毛 微血管
配子 染色體
染色體 遺傳物質
細胞 水分
消化液 消化
液胞 水分
溶質 溶液
粒線體 酵素
紅血球 血紅素
細胞 葉綠體
細胞壁 葉綠體
細胞核 遺傳物質
細菌 酵素
胃液 鹽酸
葉綠體 葉綠素
藍菌 葉綠素
藻類 葉綠體
葉肉細胞 葉綠體
食物 葡萄糖
細胞核 血紅素
唾液 酵素
消化液 酵素
